#Address#	#cell#	#Position#	#QDC channel#	#Pedestal#	#Count#	#Output Q#	#G#
0	8	24	63	187.08200	358.751	17.16690	69.333198707593
0	8	25	62	158.60300	215.106	5.65030	67.026097271649
0	8	26	61	166.72900	341.113	17.43840	70.429725363490
0	8	27	60	141.27500	306.407	16.51320	66.693053311793
0	8	28	59	140.50800	198.029	5.75210	68.233689205220
0	8	29	58	86.33070	274.858	18.85273	76.141882067851
0	8	30	57	164.31600	338.799	17.44830	70.469709208401
0	8	31	56	174.88400	345.206	17.03220	68.789176090469
1	2	0	92	182.91100	352.759	16.98480	68.597738287561
1	2	1	31	138.76000	196.776	5.80160	68.820877817319
1	2	2	18	133.16200	319.556	18.63940	75.280290791599
1	2	3	19	154.89300	338.562	18.36690	74.179725363490
1	2	4	20	150.96700	207.945	5.69780	67.589561091341
1	2	5	21	179.51800	361.216	18.16980	73.383683360259
1	2	6	22	169.53500	354.847	18.53120	74.843295638126
1	2	7	23	161.80600	347.579	18.57730	75.029483037157
1	2	8	0	195.33400	255.461	6.01270	71.325029655991
1	2	9	1	177.76400	358.839	18.10750	73.132067851373
1	2	10	2	170.20200	352.070	18.18680	73.452342487884
1	2	11	3	148.34100	207.878	5.95370	70.625148279953
1	2	12	4	137.71300	320.933	18.32200	73.998384491115
1	2	13	5	167.32300	345.773	17.84500	72.071890145396
1	2	14	6	177.31400	363.303	18.59890	75.116720516963
1	2	15	7	169.47000	361.294	19.18240	77.473344103393
1	2	16	95	174.20500	350.502	17.62970	71.202342487884
1	2	17	33	177.41000	369.720	19.23100	77.669628432956
1	2	18	34	187.45400	374.284	18.68300	75.456381260097
1	2	19	35	165.23500	345.924	18.06890	72.976171243942
1	2	20	36	191.66900	377.624	18.59550	75.102988691438
1	2	21	37	181.85800	240.675	5.88170	69.771055753262
1	2	22	38	158.59100	216.805	5.82140	69.055753262159
1	2	23	39	163.41700	220.232	5.68150	67.396204033215
1	2	24	48	162.16900	336.104	17.39350	70.248384491115
1	2	25	49	131.50500	188.288	5.67830	67.358244365362
1	2	26	50	112.55100	284.000	17.14490	69.244345718902
1	2	27	51	171.46100	344.075	17.26140	69.714862681745
1	2	28	52	168.76900	225.955	5.71860	67.836298932384
1	2	29	53	172.36500	346.911	17.45460	70.495153473344
1	2	30	54	161.99100	335.132	17.31410	69.927705977383
1	2	31	55	168.12700	345.814	17.76870	71.763731825525
1	10	0	93	174.39100	347.247	17.28560	69.812600969305
1	10	1	30	122.32600	179.861	5.75350	68.250296559905
1	10	2	29	131.94000	311.874	17.99340	72.671243941842
1	10	3	28	170.78600	357.675	18.68890	75.480210016155
1	10	4	27	105.93100	165.041	5.91100	70.118623962040
1	10	5	26	175.43100	354.512	17.90810	72.326736672052
1	10	6	25	207.32300	396.691	18.93680	76.481421647819
1	10	7	24	159.85700	337.799	17.79420	71.866720516963
1	10	8	15	180.23700	238.180	5.79430	68.734282325030
1	10	9	14	155.16100	341.819	18.66580	75.386914378029
1	10	10	13	184.88500	384.958	20.00730	80.804927302100
1	10	11	12	171.95700	231.649	5.96920	70.809015421115
1	10	12	11	132.22500	323.246	19.10210	77.149030694669
1	10	13	10	154.95600	330.978	17.60220	71.091276252019
1	10	14	9	215.56000	386.322	17.07620	68.966882067851
1	10	15	8	207.28700	404.192	19.69050	79.525444264944
1	10	16	94	168.19500	346.199	17.80040	71.891760904685
1	10	17	32	141.57000	328.046	18.64760	75.313408723748
1	10	18	45	169.50200	357.650	18.81480	75.988691437803
1	10	19	44	192.40200	379.396	18.69940	75.522617124394
1	10	20	43	171.11000	358.290	18.71800	75.597738287561
1	10	21	42	124.23900	182.836	5.85970	69.510083036774
1	10	22	41	149.06900	207.300	5.82310	69.075919335706
1	10	23	40	194.96500	253.124	5.81590	68.990510083037
1	10	24	63	187.03100	358.624	17.15930	69.302504038772
1	10	25	62	158.59300	215.820	5.72270	67.884934756821
